MODULE,PAPER,DATE,SESSION,CATEGORY,DURATION,NUMBER_OF_STUDENTS
CMPG 111,1,2023/06/21,9:00:00,Computer,3:00,674
CMPG 115,1,2023/06/06,14:00:00,Computer,3:00,343
CMPG 211,1,2023/06/06,9:00:00,Computer,3:00,257
CMPG 212,1,2023/06/26,9:00:00,Computer,3:00,171
CMPG 213,1,2023/06/27,9:00:00,,3:00,193
CMPG 215,1,2023/06/21,9:00:00,,3:00,157
CMPG 311,1,2023/06/05,14:00:00,,3:00,142
CMPG 312,1,2023/06/26,14:00:00,,3:00,116
CMPG 313,1,2023/06/12,14:00:00,,3:00,118
CMPG 315,1,2023/06/14,9:00:00,,3:00,106
